SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED
207,North,WB,Western,California,0.49,W,,-87.68721931,41.91045807,-87.6970335,41.91035455,-1,12/21/16 10:50 PM
208,North,WB,Damen,Western,0.5,W,,-87.67758465,41.91060995,-87.68721931,41.91045807,-1,12/21/16 10:50 PM
209,North,WB,Ashland,Damen,0.5,W,,-87.66769019,41.91076749,-87.67758465,41.91060995,16,12/21/16 10:50 PM
210,North,WB,Elston,Ashland,0.28,W,,-87.66215962,41.91084334,-87.66769019,41.91076749,19,12/21/16 10:50 PM
211,North,WB,Halsted,Elston,0.72,W,,-87.64827011,41.91105682,-87.66215962,41.91084334,18,12/21/16 10:50 PM
212,North,WB,LaSalle,Halsted,0.78,W,,-87.63314938,41.91129948,-87.64827011,41.91105682,-1,12/21/16 10:50 PM
213,Roosevelt,EB,Austin,Central,0.5,W,IDOT Signals Possible,-87.77415004,41.86533824,-87.76435482,41.86548154,-1,7/21/10 2:50 PM
214,Roosevelt,EB,Central,Laramie,0.5,W,IDOT Signals Possible,-87.76435482,41.86548154,-87.75456003,41.86557615,38,12/21/16 10:50 PM
215,Roosevelt,EB,Laramie,Cicero,0.5,W,IDOT Signals Possible,-87.75456003,41.86557615,-87.74476391,41.86581344,28,12/21/16 10:50 PM
216,Roosevelt,EB,Cicero,Kostner,0.5,W,IDOT Signals Possible,-87.74476391,41.86581344,-87.73496602,41.86589569,-1,12/21/16 10:50 PM
217,Roosevelt,EB,Kostner,Pulaski,0.5,W,,-87.73496602,41.86589569,-87.72517179,41.86603492,-1,12/21/16 10:50 PM
218,Roosevelt,EB,Pulaski,Central Park,0.5,W,,-87.72517179,41.86603492,-87.71542211,41.8661526,-1,12/21/16 10:50 PM
219,Roosevelt,EB,Central Park,Kedzie,0.5,W,,-87.71542211,41.8661526,-87.70567054,41.8662681,23,12/21/16 10:50 PM
